,Unnamed: 0,name,lng,lat,geometry,x,y
100,100,连云港,119.229571,34.602342,POINT (13272575.131220456 4109971.4659111477),13272575.131220456,4109971.4659111477
101,101,邢台,114.510889,37.076646,POINT (12747293.853765072 4449795.642748598),12747293.853765072,4449795.642748598
102,102,邯郸,114.545808,36.631222,POINT (12751181.019064082 4387827.791818441),12751181.019064082,4387827.791818441
103,103,郑州,113.631349,34.753488,POINT (12649383.908832755 4130431.4049799745),12649383.908832755,4130431.4049799745
104,104,鄂尔多斯,109.787314,39.61463,POINT (12221467.890041234 4810098.377952681),12221467.890041234,4810098.377952681
105,105,重庆,106.557165,29.570997,POINT (11861889.348174833 3448523.845249154),11861889.348174833,3448523.845249154
106,106,金华,119.654027,29.084455,POINT (13319825.357004607 3386399.661685237),13319825.357004607,3386399.661685237
107,107,铜川,108.951558,34.902957,POINT (12128431.957693812 4150701.195565536),12128431.957693812,4150701.195565536
108,108,银川,106.238976,38.492392,POINT (11826468.71071881 4649219.719260768),11826468.71071881,4649219.719260768
109,109,镇江,119.431494,32.195688,POINT (13295053.096759908 3789025.2175786505),13295053.096759908,3789025.2175786505
110,110,长春,125.33017,43.82178,POINT (13951690.705434412 5437903.523131065),13951690.705434412,5437903.523131065
111,111,长沙,112.945333,28.233971,POINT (12573016.957036717 3278504.332923743),12573016.957036717,3278504.332923743
112,112,长治,113.123046,36.201585,POINT (12592799.877704063 4328394.726917781),12592799.877704063,4328394.726917781
113,113,阳泉,113.587087,37.86234,POINT (12644456.685531264 4559997.282360419),12644456.685531264,4559997.282360419
114,114,青岛,120.389445,36.072358,POINT (13401691.714284813 4310582.294376118),13401691.714284813,4310582.294376118
115,115,韶关,113.603757,24.816174,POINT (12646312.381442789 2853182.576697755),12646312.381442789,2853182.576697755
116,116,九江,116.007993,29.711328,POINT (12913950.708709646 3466497.4566904367),12913950.708709646,3466497.4566904367
117,117,大庆,125.109727,46.593216,POINT (13927151.102925472 5875927.501128671),13927151.102925472,5875927.501128671
118,118,宁德,119.554701,26.671748,POINT (13308768.437262075 3082520.5171683338),13308768.437262075,3082520.5171683338
119,119,忻州,112.740804,38.422382,POINT (12550248.89290426 4639267.263650445),12550248.89290426,4639267.263650445
120,120,石嘴山,106.39078,38.989783,POINT (11843367.454699194 4720208.180642836),11843367.454699194,4720208.180642836
121,121,池州,117.497839,30.67098,POINT (13079799.60679004 3590092.947905787),13079799.60679004,3590092.947905787
122,122,淮南,117.006189,32.631837,POINT (13025069.37914153 3846537.824347556),13025069.37914153,3846537.824347556
123,123,吐鲁番地区,89.196029,42.957303,POINT (9929256.529062063 5305475.18462208),9929256.529062063,5305475.18462208
124,124,宜昌,111.292971,30.697602,POINT (12389076.86059056 3593538.9645924415),12389076.86059056,3593538.9645924415
125,125,景德镇,117.184967,29.274337,POINT (13044970.855066568 3410609.540022885),13044970.855066568,3410609.540022885
126,126,安庆,117.070127,30.548594,POINT (13032186.924743868 3574263.201240145),13032186.924743868,3574263.201240145
127,127,怒江傈僳族自治州,98.863189,25.823736,POINT (11005399.857679166 2977266.2199128116),11005399.857679166,2977266.2199128116
