,name,lng,lat,geometry,x,y
122,南昌市,115.853071,28.68630573,POINT (12896704.87055697 3335780.0473061623),12896704.87055697,3335780.0473061623
123,景德镇市,117.1795857,29.27705135,POINT (13044371.811490763 3410955.943894364),13044371.811490763,3410955.943894364
124,萍乡市,113.8819093,27.66217241,POINT (12677276.153841766 3206447.8394636996),12677276.153841766,3206447.8394636996
125,九江市,115.9485992,29.66384123,POINT (12907339.02113737 3460412.540288791),12907339.02113737,3460412.540288791
126,新余市,114.9118188,27.82201117,POINT (12791925.15494492 3226551.9468404674),12791925.15494492,3226551.9468404674
127,鹰潭市,117.0343358,28.27528189,POINT (13028202.666584987 3283725.079088277),13028202.666584987,3283725.079088277
128,赣州市,114.9287692,25.83432297,POINT (12793812.064841665 2978575.5617027846),12793812.064841665,2978575.5617027846
129,吉安市,114.9619142,27.09467585,POINT (12797501.749364007 3135305.2330894256),12797501.749364007,3135305.2330894256
130,宜春市,114.4115214,27.81934789,POINT (12736232.303131722 3226216.7243685396),12736232.303131722,3226216.7243685396
131,抚州市,116.3530487,27.95211337,POINT (12952362.133528963 3242937.721577883),12952362.133528963,3242937.721577883
132,上饶市,117.938085,28.4585365,POINT (13128807.567333816 3306908.722268777),13128807.567333816,3306908.722268777
133,济南市,117.1140001,36.65163871,POINT (13037070.85589539 4390660.31556243),13037070.85589539,4390660.31556243
134,青岛市,120.3775319,36.06666176,POINT (13400365.554059045 4309797.808494023),13400365.554059045,4309797.808494023
135,淄博市,118.0489134,36.81326243,POINT (13141144.928387249 4413109.843025391),13141144.928387249,4413109.843025391
136,枣庄市,117.3178494,34.81165237,POINT (13059763.256169954 4138314.8202496236),13059763.256169954,4138314.8202496236
137,东营市,118.6689662,37.43331419,POINT (13210168.890348192 4499678.53752491),13210168.890348192,4499678.53752491
138,烟台市,121.4425478,37.46357969,POINT (13518922.581733786 4503922.317457367),13518922.581733786,4503922.317457367
139,潍坊市,119.1558385,36.70722393,POINT (13264367.266865544 4398375.770690751),13264367.266865544,4398375.770690751
140,济宁市,116.581825,35.41556486,POINT (12977829.39475053 4220499.137370067),12977829.39475053,4220499.137370067
141,泰安市,117.0808959,36.20153426,POINT (13033385.713208271 4328387.727238352),13033385.713208271,4328387.727238352
142,威海市,122.115462,37.51228259,POINT (13593831.04782535 4510754.9682768015),13593831.04782535,4510754.9682768015
143,日照市,119.5214215,35.41719958,POINT (13305063.78026822 4220722.431423631),13305063.78026822,4220722.431423631
144,临沂市,118.3507098,35.10416431,POINT (13174740.749958493 4178045.6830567345),13174740.749958493,4178045.6830567345
145,德州市,116.35334,37.43562257,POINT (12952394.560896631 4500002.154402277),12952394.560896631,4500002.154402277
146,聊城市,115.9795582,36.45577017,POINT (12910785.361252835 4363517.235246878),12910785.361252835,4363517.235246878
147,滨州市,117.9648275,37.38203742,POINT (13131784.528816355 4492492.505240333),13131784.528816355,4492492.505240333
148,菏泽市,115.4737951,35.23470144,POINT (12854484.07049881 4195822.051147703),12854484.07049881,4195822.051147703
149,郑州市,113.6193044,34.7474859,POINT (12648043.110093947 4129618.215488453),12648043.110093947,4129618.215488453
150,开封市,114.3084234,34.79896293,POINT (12724755.486269915 4136594.4593842),12724755.486269915,4136594.4593842
151,洛阳市,112.4476443,34.62072772,POINT (12517614.50437915 4112458.2632553163),12517614.50437915,4112458.2632553163
152,平顶山市,113.1863261,33.7679899,POINT (12599844.186213411 3997691.1207722607),12599844.186213411,3997691.1207722607
153,安阳市,114.3863901,36.098605,POINT (12733434.69961275 4314197.7641866915),12733434.69961275,4314197.7641866915
154,鹤壁市,114.2913757,35.74839753,POINT (12722857.74498672 4266056.259214591),12722857.74498672,4266056.259214591
155,新乡市,113.9208847,35.30417395,POINT (12681614.87552323 4205294.383826081),12681614.87552323,4205294.383826081
156,焦作市,113.2355373,35.21623793,POINT (12605322.351938738 4193305.9815036557),12605322.351938738,4193305.9815036557
157,濮阳市,115.0233556,35.76273451,POINT (12804341.37472563 4268022.927672548),12804341.37472563,4268022.927672548
158,许昌市,113.8461307,34.03887712,POINT (12673293.29830847 4034023.4688558015),12673293.29830847,4034023.4688558015
