,name,lng,lat,geometry,x,y
200,深圳市,114.057939,22.543527,POINT (12696871.69041026 2576908.4999539186),12696871.69,2576908.5
201,珠海市,113.576892,22.271644,POINT (12643321.783322627 2544170.738962821),12643321.78,2544170.739
202,汕头市,116.681956,23.354152,POINT (12988975.92668315 2674903.8886981746),12988975.93,2674903.889
203,佛山市,113.121586,23.021351,POINT (12592637.351247504 2634600.8841566904),12592637.35,2634600.884
204,江门市,113.081548,22.578948,POINT (12588180.341475124 2581178.3168313964),12588180.34,2581178.317
205,湛江市,110.357538,21.270108,POINT (12284944.935359338 2424115.3776722443),12284944.94,2424115.378
206,茂名市,110.925533,21.662728,POINT (12348173.849532465 2471079.548339565),12348173.85,2471079.548
207,肇庆市,112.465245,23.047747,POINT (12519573.805340756 2637793.851719833),12519573.81,2637793.852
208,惠州市,114.415587,23.112368,POINT (12736684.883653492 2645613.314498924),12736684.88,2645613.314
209,梅州市,116.122046,24.288832,POINT (12926647.03059309 2788643.2513962793),12926647.03,2788643.251
210,汕尾市,115.375557,22.787204,POINT (12843548.255230311 2606304.765526529),12843548.26,2606304.766
211,河源市,114.700215,23.744276,POINT (12768369.527678998 2722277.8435782287),12768369.53,2722277.844
212,阳江市,111.98343,21.856853,POINT (12465938.404884197 2494347.3790128864),12465938.4,2494347.379
213,清远市,113.056098,23.682064,POINT (12585347.260434436 2714713.8044658005),12585347.26,2714713.804
214,东莞市,113.751884,23.021016,POINT (12662801.803655524 2634560.365211825),12662801.8,2634560.365
215,中山市,113.392517,22.517024,POINT (12622797.252207616 2573714.4181589),12622797.25,2573714.418
216,潮州市,116.621901,23.657662,POINT (12982290.634663563 2711747.8740239106),12982290.63,2711747.874
217,揭阳市,116.372732,23.550968,POINT (12954553.268462092 2698786.2873365073),12954553.27,2698786.287
218,云浮市,112.044524,22.915163,POINT (12472739.35785472 2621762.256588717),12472739.36,2621762.257
219,南宁市,108.366407,22.8177,POINT (12063293.246336635 2609987.3732050904),12063293.25,2609987.373
220,柳州市,109.428071,24.326442,POINT (12181477.142210187 2793237.2420965917),12181477.14,2793237.242
221,桂林市,110.179752,25.235615,POINT (12265153.888369163 2904712.482867326),12265153.89,2904712.483
222,梧州市,111.279022,23.476733,POINT (12387524.065013487 2689774.149125205),12387524.07,2689774.149
223,北海市,109.120248,21.481305,POINT (12147210.44259573 2449362.4742069445),12147210.44,2449362.474
224,防城港市,108.35467,21.686732,POINT (12061986.689473195 2473954.9662466417),12061986.69,2473954.966
225,钦州市,108.654355,21.980894,POINT (12095347.471071577 2509231.48592116),12095347.47,2509231.486
226,贵港市,109.598903,23.11182,POINT (12200494.073461385 2645546.987961335),12200494.07,2645546.988
227,玉林市,110.18097,22.654001,POINT (12265289.475508953 2590229.1947812713),12265289.48,2590229.195
228,百色市,106.61869,23.90307,POINT (11868738.27984589 2741601.2072929093),11868738.28,2741601.207
229,贺州市,111.567216,24.404182,POINT (12419605.674343163 2802737.3617465403),12419605.67,2802737.362
230,河池市,108.085244,24.692906,POINT (12031994.324346729 2838071.9240183453),12031994.32,2838071.924
231,来宾市,109.221243,23.750105,POINT (12158453.154568397 2722986.7468618555),12158453.15,2722986.747
232,崇左市,107.364973,22.377139,POINT (11951814.123393565 2556865.918766358),11951814.12,2556865.919
233,海口市,110.198418,20.045805,POINT (12267231.777984314 2278457.948218059),12267231.78,2278457.948
234,三亚市,109.511709,18.252865,POINT (12190787.681781154 2067167.285360962),12190787.68,2067167.285
235,三沙市,112.338649,16.831004,POINT (12505481.203084292 1901161.7493047772),12505481.2,1901161.749
236,儋州市,109.580812,19.520948,POINT (12198480.192553442 2216366.1581057487),12198480.19,2216366.158
237,五指山市,109.516784,18.774827,POINT (12191352.62819693 2128443.2959497995),12191352.63,2128443.296
238,琼海市,110.474524,19.259112,POINT (12297967.75730928 2185466.0349655873),12297967.76,2185466.035
239,文昌市,110.797473,19.544234,POINT (12333918.275541477 2219116.629390566),12333918.28,2219116.629
240,万宁市,110.392605,18.793697,POINT (12288848.575942988 2130662.0717571103),12288848.58,2130662.072
